ab,about,ab -> about,2014-02-04,2f1ff0ae-8df4-11e3-b987-58b035f91c4e
abo,above,abo -> above,2014-02-04,2f2176d4-8df4-11e3-8bc5-58b035f91c4e
av,above,av -> above,2014-02-04,2f217968-8df4-11e3-b08f-58b035f91c4e
ac,actual,ac -> actual,2014-02-04,2f217ac0-8df4-11e3-af19-58b035f91c4e
af,after,af -> after,2014-02-04,2f217bf6-8df4-11e3-a2d5-58b035f91c4e
ag,again,ag -> again,2014-02-04,2f217d1e-8df4-11e3-af57-58b035f91c4e
l,all,l -> all,2014-02-04,2f217e74-8df4-11e3-b385-58b035f91c4e
lm,almost,lm -> almost,2014-02-04,2f217fbe-8df4-11e3-aedd-58b035f91c4e
al,along,al -> along,2014-02-04,2f21811c-8df4-11e3-93ed-58b035f91c4e
ao,also,ao -> also,2014-02-04,2f21828c-8df4-11e3-8ab3-58b035f91c4e
aw,always,aw -> always,2014-02-04,2f218434-8df4-11e3-9f75-58b035f91c4e
amc,America,amc -> America,2014-02-04,2f218574-8df4-11e3-a99b-58b035f91c4e
n,and,n -> and,2014-02-04,2f21869e-8df4-11e3-9b12-58b035f91c4e
ani,animal,ani -> animal,2014-02-04,2f218824-8df4-11e3-aba5-58b035f91c4e
ai,animal,ai -> animal,2014-02-04,2f218926-8df4-11e3-893b-58b035f91c4e
anr,another,anr -> another,2014-02-04,2f218a40-8df4-11e3-b955-58b035f91c4e
ae,another,ae -> another,2014-02-04,2f218b26-8df4-11e3-a378-58b035f91c4e
ans,answer,ans -> answer,2014-02-04,2f218c34-8df4-11e3-abf6-58b035f91c4e
ar,answer,ar -> answer,2014-02-04,2f218d2e-8df4-11e3-9c26-58b035f91c4e
ne,any,ne -> any,2014-02-04,2f218e48-8df4-11e3-9203-58b035f91c4e
nw,anyway,nw -> anyway,2014-02-04,2f218f54-8df4-11e3-8bae-58b035f91c4e
r,are,r -> are,2014-02-04,2f21906c-8df4-11e3-a1b5-58b035f91c4e
aa,area,aa -> area,2014-02-04,2f21917a-8df4-11e3-af69-58b035f91c4e
ru,are you,ru -> are you,2014-02-04,2f219288-8df4-11e3-9ef2-58b035f91c4e
rukw,are you okay with,rukw -> are you okay with,2014-02-04,2f21939e-8df4-11e3-b9c9-58b035f91c4e
rnd,around,rnd -> around,2014-02-04,2f2194ec-8df4-11e3-8b32-58b035f91c4e
ro,around,ro -> around,2014-02-04,2f2195ee-8df4-11e3-bd93-58b035f91c4e
ay,away,ay -> away,2014-02-04,2f2196fa-8df4-11e3-82ca-58b035f91c4e
b,be,b -> be,2014-02-04,2f219852-8df4-11e3-987c-58b035f91c4e
bc,because,bc -> because,2014-02-04,2f2199c2-8df4-11e3-8c4c-58b035f91c4e
bn,been,bn -> been,2014-02-04,2f219c10-8df4-11e3-a825-58b035f91c4e
bf,before,bf -> before,2014-02-04,2f219d6e-8df4-11e3-b3df-58b035f91c4e
bga,began,bga -> began,2014-02-04,2f219eae-8df4-11e3-b182-58b035f91c4e
ba,began,ba -> began,2014-02-04,2f219fbe-8df4-11e3-a959-58b035f91c4e
bgn,begin,bgn -> begin,2014-02-04,2f21a0d4-8df4-11e3-a385-58b035f91c4e
bi,begin,bi -> begin,2014-02-04,2f21a1b8-8df4-11e3-9735-58b035f91c4e
bng,being,bng -> being,2014-02-04,2f21a2d2-8df4-11e3-9b8d-58b035f91c4e
bg,being,bg -> being,2014-02-04,2f21a3cc-8df4-11e3-adc6-58b035f91c4e
bl,below,bl -> below,2014-02-04,2f21a4da-8df4-11e3-89ed-58b035f91c4e
bs,best,bs -> best,2014-02-04,2f21a5e6-8df4-11e3-9e6d-58b035f91c4e
bt,between,bt -> between,2014-02-04,2f21a700-8df4-11e3-9468-58b035f91c4e
tw,between,tw -> between,2014-02-04,2f21a7ee-8df4-11e3-81c1-58b035f91c4e
bk,book,bk -> book,2014-02-04,2f21a8f4-8df4-11e3-ad4d-58b035f91c4e
bo,both,bo -> both,2014-02-04,2f21aa0c-8df4-11e3-9f1d-58b035f91c4e
bh,both,bh -> both,2014-02-04,2f21aafe-8df4-11e3-8423-58b035f91c4e
2014-02-04,but - bu,2014-02-04 -> but - bu,2014-02-04,2f21ac0a-8df4-11e3-a4b9-58b035f91c4e
btw,by the way,btw -> by the way,2014-02-04,2f21ad2c-8df4-11e3-8274-58b035f91c4e
cl,call,cl -> call,2014-02-04,2f21ae3a-8df4-11e3-8121-58b035f91c4e
ca,came,ca -> came,2014-02-04,2f21af48-8df4-11e3-8d4c-58b035f91c4e
c,can,c -> can,2014-02-04,2f21b092-8df4-11e3-bb8d-58b035f91c4e
cn,can't,cn -> can't,2014-02-04,2f21b1b4-8df4-11e3-9d07-58b035f91c4e
ch,change,ch -> change,2014-02-04,2f21b2c2-8df4-11e3-8fbf-58b035f91c4e
chd,children,chd -> children,2014-02-04,2f21b3d0-8df4-11e3-b195-58b035f91c4e
